Type,Organization,Street Address,City,County,State,ZIP,Phone,Birds Accepted,Latitude,Longitude,Location Precision,License Status,Source
Organization,Wasson Memorial Veterinary Clinic,3083 Highway 175,Lakeport,Lake,CA,95453,707-263-5380,all birds,39.05345,-122.91929,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Wildlife Care Association of Sacramento,5211 Patrol Rd,McClellan,Sacramento,CA,95652,916-965-9453,all birds,38.66665,-121.38961,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Mission Viejo Animal Services Center,28095 Hillcrest,Mission Viejo,Orange,CA,92692,949-470-3045,all birds,33.57503,-117.6599,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Pacific Wildlife Care,1387 Main St,Morro Bay,San Luis Obispo,CA,93442,805-772-9494,all birds,35.4023,-120.79374,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Ohlone Humane Society,37175 Hickory St,Newark,Alameda,CA,94560,510-797-9449,all birds,37.5341,-122.02535,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Ojai Raptor Center,370 Baldwin Road,Ojai,Ventura,CA,93023,805-649-6884,raptors,34.47881,-119.25876,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Pasadena Humane,361 S Raymond Ave,Pasadena,Los Angeles,CA,91105,626-344-1129,all birds,33.78659,-118.29866,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Sonoma County Wildlife Rescue,403 Mecham Rd,Petaluma,Sonoma,CA,94952,707-992-0274,all birds,38.26537,-122.82259,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,San Diego Humane Society - Project Wildlife (Ramona Wildlife Center),18740 Highland Valley Rd,Ramona,San Diego,CA,92065,619-299-7012,all birds,33.03157,-116.97655,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,SPCA Monterey County Wildlife Center,1002 Monterey-Salinas Hwy,Salinas,Monterey,CA,93908,831-264-5427,all birds,36.64168,-121.63741,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,San Diego Humane Society - Project Wildlife,5433 Gaines St,San Diego,San Diego,CA,92110,619-299-7012,all birds,32.77585,-117.20797,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,SeaWorld San Diego Rescue,500 SeaWorld Dr,San Diego,San Diego,CA,92109,800-541-7325,shorebirds/seabirds,32.79475,-117.23939,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,San Dimas Raptor Rescue,1628 N Sycamore Canyon Rd,San Dimas,Los Angeles,CA,91773,909-599-7512,raptors,33.78659,-118.29866,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Wildlife Center of Silicon Valley,3027 Penitencia Creek Rd,San Jose,Santa Clara,CA,95132,408-929-9453,all birds,37.43359,-121.82962,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,International Bird Rescue,3601 S Gaffey St,San Pedro,Los Angeles,CA,90731,310-514-2573,"waterfowl, shorebirds/seabirds",33.75309,-118.25305,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,WildCare,76 Albert Park Ln,San Rafael,Marin,CA,94901,415-456-7283,all birds,37.97095,-122.50429,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Native Animal Rescue,1855 17th Ave,Santa Cruz,Santa Cruz,CA,95062,831-462-0726,all birds,36.97155,-121.99057,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Bird Rescue Center of Sonoma County,3430 Chanate Rd,Santa Rosa,Sonoma,CA,95404,707-523-2473,all birds,38.45264,-122.6563,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Shalom Wildlife Hospital,741 Academy Drive,Solana Beach,San Diego,CA,92075,858-755-1511,all birds,33.00708,-117.25677,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Lake Tahoe Wildlife Care,1551 Al Tahoe Blvd,South Lake Tahoe,El Dorado,CA,96150,530-577-2273,all birds,38.92751,-120.03963,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,SCICON Raptor Center,34588 Blue Ridge Dr,Springville,Tulare,CA,93265,442-272-2742,raptors,36.12651,-118.92848,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Lindsay Wildlife Experience,1931 First Ave,Walnut Creek,Contra Costa,CA,94597,925-935-1978,all birds,37.77721,-121.9554,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Birds of Prey Foundation,2290 S 104th St,Broomfield,Boulder,CO,80020,303-460-0674,all birds,40.04606,-105.09715,street address (ZIP-level coordinate),Kept: listed on official Colorado Parks & Wildlife wildlife rehabilitation license holders list,https://www.hsppr.org/wp-content/uploads/2021/06/Colorado-Wildlife-Rehabilitation-License-Holders.pdf
Organization,Rocky Mountain Raptor Program,720 E Vine Dr,Fort Collins,Larimer,CO,80524,970-484-7756,raptors,40.59889,-105.25275,street address (ZIP-level coordinate),Kept: listed on official Colorado Parks & Wildlife wildlife rehabilitation license holders list,https://www.hsppr.org/wp-content/uploads/2021/06/Colorado-Wildlife-Rehabilitation-License-Holders.pdf
Organization,Second Chance Wildlife Rehabilitation,2730 Colfax Ave,Pueblo,Pueblo,CO,81003,719-543-1946,all birds,38.12103,-104.76385,street address (ZIP-level coordinate),Kept: listed on official Colorado Parks & Wildlife wildlife rehabilitation license holders list,https://www.hsppr.org/wp-content/uploads/2021/06/Colorado-Wildlife-Rehabilitation-License-Holders.pdf
Organization,Pauline S Schneegas Wildlife Foundation,5945 County Road 346,Silt,Garfield,CO,81652,970-876-5676,all birds,39.50282,-107.66566,street address (ZIP-level coordinate),Kept: listed on official Colorado Parks & Wildlife wildlife rehabilitation license holders list,https://www.hsppr.org/wp-content/uploads/2021/06/Colorado-Wildlife-Rehabilitation-License-Holders.pdf
Individual,Liz Bennett,,Barkhamsted,Litchfield,CT,,860-653-0558,waterfowl,41.92487,-72.98268,city,Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Individual,Wanda D'Agostino,,East Hartford,Hartford,CT,,860-289-2859,raptors,41.78029,-72.61801,city,Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Individual,Rose Crisci,,Guilford,New Haven,CT,,203-824-4124,raptors,41.31537,-72.69679,city,Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Organization,A Place Called Hope,154 Pond Meadow Road,Killingworth,Middlesex,CT,06419,203-804-3453,"raptors, shorebirds/seabirds, corvids",41.41796,-72.49345,street address (ZIP-level coordinate),Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list); A Place Called Hope is a public birds-of-prey rehab center,https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Individual,Shawn Bittman,,Ledyard,New London,CT,,860-910-7668,"raptors, songbirds",41.44014,-71.99563,city,Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Individual,Angela L. Grano,,Norfolk,Litchfield,CT,,860-227-9408,"raptors, corvids",41.98539,-73.1992,city,Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Individual,Donna L. Powers,,North Branford,New Haven,CT,,203-764-0126,waterfowl,41.32798,-72.77603,city,Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Organization,Sharon Audubon Center,325 Cornwall Bridge Road,Sharon,Litchfield,CT,06069,860-364-0520,"raptors, songbirds",41.87468,-73.4339,street address (ZIP-level coordinate),Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list); National Audubon Society center with wildlife rehab clinic,https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Individual,Christine Peyreigne,"P.O. Box 1157, Weston, CT 06883",Weston,Fairfield,CT,06883,203-557-3192,raptors,41.22295,-73.37626,street address (ZIP-level coordinate),Listed in Connecticut wildlife rehabilitator directory (CT DEEP-authorized list),https://www.lymelandtrust.org/wp/wp-content/uploads/2022/02/2021-Connecticut-Rehab-Directory.pdf
Organization,"City Wildlife, Inc.",15 Oglethorpe St NW,Washington,District of Columbia,DC,20011,202-882-1000,all birds,38.95261,-77.0179,street address (ZIP-level coordinate),DC's licensed wildlife rehabilitation facility (per DC DOEE); confirmed real licensed facility,https://doee.dc.gov/service/wildlife-rehabilitation
Organization,"Tri-State Bird Rescue & Research, Inc.",110 Possum Hollow Rd,Newark,New Castle,DE,19711,302-737-9543,all birds,39.66828,-75.68849,street address (ZIP-level coordinate),Kept — licensed wild bird rehabilitation facility holding state and federal migratory bird permits (tristatebird.org).,https://tristatebird.org/help-a-bird/
Organization,The Avian Reconditioning Center,323 W Lester Rd,Apopka,Orange,FL,32712,407-461-1056,raptors,28.73132,-81.5376,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Palma Sola Island Animal Clinic,6116 Manatee Ave W,Bradenton,Manatee,FL,34209,941-713-3533,all birds,27.47585,-82.61672,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Raptor Center of Tampa Bay,2002 Elk Spring Dr,Brandon,Hillsborough,FL,33511,813-205-1851,raptors,27.90368,-82.29402,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Wildlife Rehabilitation Center of Central Florida,21117 Reindeer Rd,Christmas,Orange,FL,32709,407-568-3200,all birds,28.48638,-81.00903,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,"Florida Wild Mammal Association, Inc.",198 Edgar Poole Rd,Crawfordville,Wakulla,FL,32327,850-363-1032,all birds,30.1655,-84.43078,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,South Florida Wildlife Center,3200 SW 4th Ave,Ft. Lauderdale,Broward,FL,33315,954-524-4302,all birds,26.08329,-80.16227,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Sunrise Wildlife Rehabilitation Inc.,21374 NW 165th Ave,High Springs,Alachua,FL,32643,352-222-2239,all birds,29.7407,-82.36637,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Seaside Seabird Sanctuary,18328 Gulf Blvd,Indian Shores,Pinellas,FL,33785,727-391-6211,all birds,27.88676,-82.84352,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Busch Wildlife Sanctuary,17855 Rocky Pines Rd,Jupiter,Palm Beach,FL,33478,561-575-3399,all birds,26.64589,-80.43027,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Key West Wildlife Center,1801 White St,Key West,Monroe,FL,33040,305-292-1008,all birds,24.65569,-81.38237,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,SPCA Tampa Bay,9099 130th Ave N,Largo,Pinellas,FL,33773,727-586-3592,all birds,27.88015,-82.75337,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Audubon Center for Birds of Prey,1101 Audubon Way,Maitland,Orange,FL,32751,407-644-0190,raptors,28.62548,-81.36459,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Marathon Wild Bird Center,5550 Overseas Hwy,Marathon,Monroe,FL,33050,305-743-8382,all birds,24.68772,-81.29469,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Pelican Harbor Seabird Station,1279 NE 79th St Causeway,Miami,Dade,FL,33138,305-751-9840,all birds,25.85207,-80.18212,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Von Arx Wildlife Hospital,1495 Smith Preserve Way,Naples,Collier,FL,34102,239-262-2273,all birds,26.13397,-81.79531,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,"Back To Nature Wildlife, Inc.",10525 Clapp Simms Duda Rd,Orlando,Orange,FL,32832,407-568-5138,all birds,28.38883,-81.17565,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Treasure Coast Wildlife Center,8626 SW Citrus Blvd,Palm City,Martin,FL,34990,772-286-6200,all birds,27.11124,-80.41904,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Wildlife Sanctuary of Northwest Florida,105 N S St,Pensacola,Escambia,FL,32505,850-433-9453,all birds,30.45705,-87.25772,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Peace River Wildlife Center,3400 Ponce De Leon Pkwy,Punta Gorda,Charlotte,FL,33950,941-637-3830,all birds,26.8601,-82.01341,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Saint Francis Wildlife,5580 Salem Rd,Quincy,Gadsden,FL,32352,850-597-2137,all birds,30.66571,-84.75363,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Saint Francis Wildlife Association,5580 Salem Rd,Quincy,Gadsden,FL,32352,941-270-1407,all birds,30.66571,-84.75363,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,C.R.O.W. (Clinic for the Rehabilitation of Wildlife),3883 Sanibel-Captiva Rd,Sanibel,Lee,FL,33957,239-472-3644,all birds,26.45831,-82.10007,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Save Our Seabirds Inc.,1708 Ken Thompson Pkwy,Sarasota,Sarasota,FL,34236,941-388-3010,all birds,27.32686,-82.54332,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Individual,Penelope Boehme,,St. Petersburg,Pinellas,FL,,727-323-0047,all birds,27.77232,-82.63861,city,kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Florida Keys Wild Bird Rehabilitation Center,93600 Overseas Hwy,Tavernier,Monroe,FL,33070,305-852-4486,all birds,24.92511,-80.71346,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Organization,Wildlife Center of Southwest Florida,925 N Jackson Rd,Venice,Sarasota,FL,34292,916-826-7304,all birds,27.09003,-82.37003,street address (ZIP-level coordinate),kept: on official FL FWC Licensed Wildlife Rehabilitators list,https://www.cityofoviedo.net/DocumentCenter/View/7534/licensedwildliferehabilitatorsbyregion
Individual,Cindy Ganues,,,Cobb,GA,,404-660-7989,all birds,33.90385,-84.5955,county,On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Individual,Kim Kilgore,,,Floyd,GA,,770-547-1765,raptors,34.25058,-85.20041,county,On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Individual,Suzanne DeGrasse,,,Madison,GA,,706-255-7395,all birds,34.08389,-83.20399,county,On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
