common_name,scientific_name,ebird_species_code
phoebe sp.,Sayornis sp.,phoebe1
Phylloscopus sp.,Phylloscopus sp.,phyllo1
Pica sp.,Pica sp.,pica1
Pied-billed Grebe,Podilymbus podiceps,pibgre
Pied Wheatear,Oenanthe pleschanka,piewhe1
Pigeon Guillemot,Cepphus columba,piggui
Pileated Woodpecker,Dryocopus pileatus,pilwoo
Pine Bunting,Emberiza leucocephalos,pinbun
Pine Flycatcher,Empidonax affinis,pinfly1
Pine Grosbeak,Pinicola enucleator,pingro
Pine Siskin,Spinus pinus,pinsis
Pine Warbler,Setophaga pinus,pinwar
Pink-backed Pelican,Pelecanus rufescens,pibpel1
Pink-footed Goose,Anser brachyrhynchus,pifgoo
Pink-footed Shearwater,Ardenna creatopus,pifshe
Pin-tailed Snipe,Gallinago stenura,pitsni
Pin-tailed Whydah,Vidua macroura,pitwhy
Pinyon Jay,Gymnorhinus cyanocephalus,pinjay
Piping Plover,Charadrius melodus,pipplo
pipit sp.,Anthus sp.,pipit1
Piratic Flycatcher,Legatus leucophaius,pirfly1
Plain-capped Starthroat,Heliomaster constantii,plcsta
Plain Chachalaca,Ortalis vetula,placha
plover sp.,Charadriidae sp.,plover2
Plumbeous Vireo,Vireo plumbeus,plsvir
Plum-headed Parakeet,Psittacula cyanocephala,plhpar1
Podiceps sp.,Podiceps sp.,podice1
Pomarine Jaeger,Stercorarius pomarinus,pomjae
Prairie Falcon,Falco mexicanus,prafal
Prairie Warbler,Setophaga discolor,prawar
Procellaria sp.,Procellaria sp.,procel1
Procellariid sp.,Procellariidae sp.,procel2
Prothonotary Warbler,Protonotaria citrea,prowar
Providence Petrel,Pterodroma solandri,solpet1
Psittacara sp.,Psittacara sp.,psitta2
Psittacula sp.,Psittacula sp.,psitta1
ptarmigan sp.,Lagopus sp.,ptarmi1
Pterodroma sp.,Pterodroma sp.,pterod
Puaiohi,Myadestes palmeri,puaioh
puffin sp.,Fratercula sp.,puffin1
Purple Finch,Haemorhous purpureus,purfin
Purple Gallinule,Porphyrio martinica,purgal2
Purple Martin,Progne subis,purmar
Purple Sandpiper,Calidris maritima,pursan
Pygmy Nuthatch,Sitta pygmaea,pygnut
Pyrrhuloxia,Cardinalis sinuatus,pyrrhu
quail-dove sp.,Geotrygon/Leptotrygon/Zentrygon sp.,geotry1
Rallus sp.,Rallus sp.,rallus1
raven sp.,Corvus sp. (raven sp.),raven
Razorbill,Alca torda,razorb
Red Avadavat,Amandava amandava,redava
Red-backed Shrike,Lanius collurio,rebshr1
Red-bellied Woodpecker,Melanerpes carolinus,rebwoo
Red-billed Leiothrix,Leiothrix lutea,reblei
Red-billed Pigeon,Patagioenas flavirostris,rebpig1
Red-billed Tropicbird,Phaethon aethereus,rebtro
Red-breasted Goose,Branta ruficollis,rebgoo1
Red-breasted Merganser,Mergus serrator,rebmer
Red-breasted Nuthatch,Sitta canadensis,rebnut
Red-breasted Sapsucker,Sphyrapicus ruber,rebsap
Red-cheeked Cordonbleu,Uraeginthus bengalus,reccor
Red-cockaded Woodpecker,Dryobates borealis,recwoo
Red-crested Cardinal,Paroaria coronata,reccar
Red Crossbill,Loxia curvirostra,redcro
Red-crowned Parrot,Amazona viridigenalis,recpar
Reddish Egret,Egretta rufescens,redegr
Red-eyed Vireo,Vireo olivaceus,reevir1
Red-faced Cormorant,Phalacrocorax urile,refcor
Red-faced Warbler,Cardellina rubrifrons,refwar
Red-flanked Bluetail,Tarsiger cyanurus,refblu
Red-footed Booby,Sula sula,refboo
Red-footed Falcon,Falco vespertinus,reffal1
Redhead,Aythya americana,redhea
Red-headed Woodpecker,Melanerpes erythrocephalus,rehwoo
Red Junglefowl,Gallus gallus,redjun
Red Knot,Calidris canutus,redkno
Red-legged Honeycreeper,Cyanerpes cyaneus,relhon1
Red-legged Kittiwake,Rissa brevirostris,relkit
Red-legged Thrush,Turdus plumbeus,relthr1
Red-lored Parrot,Amazona autumnalis,relpar
Red-masked Parakeet,Psittacara erythrogenys,rempar
Red-naped Sapsucker,Sphyrapicus nuchalis,rensap
Red-necked Grebe,Podiceps grisegena,rengre
Red-necked Phalarope,Phalaropus lobatus,renpha
Red-necked Stint,Calidris ruficollis,rensti
Red Phalarope,Phalaropus fulicarius,redpha1
redpoll sp.,Acanthis sp.,redpol1
Red-shouldered Hawk,Buteo lineatus,reshaw
Red-tailed Hawk,Buteo jamaicensis,rethaw
Red-tailed Tropicbird,Phaethon rubricauda,rettro
Red-throated Loon,Gavia stellata,retloo
Red-throated Pipit,Anthus cervinus,retpip
Red-vented Bulbul,Pycnonotus cafer,revbul
Red-whiskered Bulbul,Pycnonotus jocosus,rewbul
Redwing,Turdus iliacus,redwin
Red-winged Blackbird,Agelaius phoeniceus,rewbla
Reed Bunting,Emberiza schoeniclus,reebun
Rhinoceros Auklet,Cerorhinca monocerata,rhiauk
Ridgway's Rail,Rallus obsoletus,ridrai1
Ring-billed Gull,Larus delawarensis,ribgul
Ringed Kingfisher,Megaceryle torquata,rinkin1
Ringed Storm-Petrel,Oceanodroma hornbyi,rispet1
Ringed Teal,Callonetta leucophrys,rintea1
Ring-necked Duck,Aythya collaris,rinduc
Ring-necked Pheasant,Phasianus colchicus,rinphe
River Warbler,Locustella fluviatilis,eurwar2
Rivoli's Hummingbird,Eugenes fulgens,maghum1
Roadside Hawk,Rupornis magnirostris,roahaw
Rock Pigeon,Columba livia,rocpig
Rock Ptarmigan,Lagopus muta,rocpta1
Rock Sandpiper,Calidris ptilocnemis,rocsan
Rock Wren,Salpinctes obsoletus,rocwre
Roseate Spoonbill,Platalea ajaja,rosspo1
Roseate Tern,Sterna dougallii,roster
Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro
rosefinch sp.,Carpodacus sp.,carpod
Rose-ringed Parakeet,Psittacula krameri,rorpar
Rose-throated Becard,Pachyramphus aglaiae,rotbec
Ross's Goose,Anser rossii,rosgoo
Ross's Gull,Rhodostethia rosea,rosgul
Rosy-billed Pochard,Netta peposaca,robpoc1
Rosy-faced Lovebird,Agapornis roseicollis,peflov
rosy-finch sp.,Leucosticte sp.,rosfin
Rough-legged Hawk,Buteo lagopus,rolhaw
Royal Tern,Thalasseus maximus,royter1
Ruby-crowned Kinglet,Regulus calendula,ruckin
Ruby-throated Hummingbird,Archilochus colubris,rthhum
Ruddy Duck,Oxyura jamaicensis,rudduc
Ruddy Ground Dove,Columbina talpacoti,rugdov
Ruddy Quail-Dove,Geotrygon montana,ruqdov
Ruddy Shelduck,Tadorna ferruginea,rudshe
Ruddy Turnstone,Arenaria interpres,rudtur
Ruff,Calidris pugnax,ruff
Ruffed Grouse,Bonasa umbellus,rufgro
Rufous-backed Robin,Turdus rufopalliatus,rubrob
Rufous-capped Warbler,Basileuterus rufifrons,rucwar
Rufous-crowned Sparrow,Aimophila ruficeps,rucspa
Rufous Hummingbird,Selasphorus rufus,rufhum
Rufous-necked Wood-Rail,Aramides axillaris,rnwrai1
Rufous-tailed Robin,Larvivora sibilans,rutrob1
Rufous-winged Sparrow,Peucaea carpalis,ruwspa
Rustic Bunting,Emberiza rustica,rusbun
Rusty Blackbird,Euphagus carolinus,rusbla
Sabine's Gull,Xema sabini,sabgul
Saffron Finch,Sicalis flaveola,saffin
Sagebrush Sparrow,Artemisiospiza nevadensis,sagspa1
Sage Thrasher,Oreoscoptes montanus,sagthr
Salmon-crested Cockatoo,Cacatua moluccensis,saccoc
Saltmarsh Sparrow,Ammospiza caudacuta,sstspa
Salvin's Albatross,Thalassarche salvini,salalb1
Sanderling,Calidris alba,sander
Sandhill Crane,Antigone canadensis,sancra
Sandwich Tern,Thalasseus sandvicensis,santer1
sapsucker sp.,Sphyrapicus sp.,sapsuc
Savannah Sparrow,Passerculus sandwichensis,savspa
Say's Phoebe,Sayornis saya,saypho
Scaled Quail,Callipepla squamata,scaqua
Scaly-breasted Munia,Lonchura punctulata,nutman
Scaly-headed Parrot,Pionus maximiliani,schpar1
Scaly-naped Pigeon,Patagioenas squamosa,scnpig1
Scarlet-fronted Parakeet,Psittacara wagleri,scfpar1
Scarlet Tanager,Piranga olivacea,scatan
Scissor-tailed Flycatcher,Tyrannus forficatus,sctfly
Scolopacidae sp.,Scolopacidae sp.,scolop1
scoter sp.,Melanitta sp.,scoter
Scott's Oriole,Icterus parisorum,scoori
screech-owl sp.,Megascops sp.,screec1
Scripps's Murrelet,Synthliboramphus scrippsi,xanmur2
Seaside Sparrow,Ammospiza maritima,seaspa
Sedge Warbler,Acrocephalus schoenobaenus,sedwar1
Sedge Wren,Cistothorus platensis,sedwre
Selasphorus sp.,Selasphorus sp.,selasp
Semipalmated Plover,Charadrius semipalmatus,semplo
Semipalmated Sandpiper,Calidris pusilla,semsan
Setophaga sp.,Setophaga sp.,dendro3
Sharp-shinned Hawk,Accipiter striatus,shshaw
Sharp-tailed Grouse,Tympanuchus phasianellus,shtgro
Sharp-tailed Sandpiper,Calidris acuminata,shtsan
shearwater sp.,Procellariidae sp. (shearwater sp.),shearw
Shiny Cowbird,Molothrus bonariensis,shicow
shorebird sp.,Charadriiformes sp.,shoreb1
Short-billed Dowitcher,Limnodromus griseus,shbdow
Short-eared Owl,Asio flammeus,sheowl
Short-tailed Albatross,Phoebastria albatrus,shtalb
Short-tailed Hawk,Buteo brachyurus,shthaw
Short-tailed Shearwater,Ardenna tenuirostris,shtshe
shrike sp.,Lanius sp.,shrike
Siberian Accentor,Prunella montanella,sibacc
Siberian Blue Robin,Larvivora cyane,sibrob
Siberian Rubythroat,Calliope calliope,sibrub
Siberian Stonechat,Saxicola maurus,sibsto1
Sinaloa Wren,Thryophilus sinaloa,sinwre1
skua sp.,Stercorarius sp. (skua sp.),skua
Slate-throated Redstart,Myioborus miniatus,sltred
Slaty-backed Gull,Larus schistisagus,slbgul
small albatross sp.,Thalassarche sp.,smaalb1
Small-billed Elaenia,Elaenia parvirostris,smbela1
small bittern sp.,Ixobrychus sp.,smabit1
small falcon sp.,Falco sp. (small falcon sp.),smafal
small plover sp.,Charadrius sp.,smaplo1
small swift sp.,Apodidae sp. (small swift sp.),smaswi1
Smew,Mergellus albellus,smew
Smith's Longspur,Calcarius pictus,smilon
Smooth-billed Ani,Crotophaga ani,smbani
Snail Kite,Rostrhamus sociabilis,snakit
snipe sp.,Gallinago sp.,snipe2
Snow Bunting,Plectrophenax nivalis,snobun
Snow Goose,Anser caerulescens,snogoo
Snowy Egret,Egretta thula,snoegr
Snowy Owl,Bubo scandiacus,snoowl1
Snowy Plover,Charadrius nivosus,snoplo5
Social Flycatcher,Myiozetetes similis,socfly1
Solitary Sandpiper,Tringa solitaria,solsan
Solitary Snipe,Gallinago solitaria,solsni1
solitary vireo sp.,Vireo cassinii/solitarius/plumbeus,solvir1
Song Sparrow,Melospiza melodia,sonspa
Sooty Grouse,Dendragapus fuliginosus,soogro1
Sooty Shearwater,Ardenna grisea,sooshe
Sooty Tern,Onychoprion fuscatus,sooter1
Sora,Porzana carolina,sora
Southern Lapwing,Vanellus chilensis,soulap1
Southern Martin,Progne elegans,soumar
South Polar Skua,Stercorarius maccormicki,sopsku1
sparrow sp.,Passerellidae sp. (sparrow sp.),sparro1
Spectacled Eider,Somateria fischeri,speeid
Spinus sp.,Spinus sp.,spinus1
Spinus sp. (goldfinch sp.),Spinus sp. (goldfinch sp.),goldfi
Spizella sp.,Spizella sp.,spizel1
Spoon-billed Sandpiper,Calidris pygmaea,spbsan1
Spot-breasted Oriole,Icterus pectoralis,spbori
Spotted Dove,Streptopelia chinensis,spodov
Spotted Flycatcher,Muscicapa striata,spofly1
Spotted Owl,Strix occidentalis,spoowl
Spotted Redshank,Tringa erythropus,spored
Spotted Sandpiper,Actitis macularius,sposan
Spotted Towhee,Pipilo maculatus,spotow
Sprague's Pipit,Anthus spragueii,sprpip
Spruce Grouse,Falcipennis canadensis,sprgro
Stejneger's Petrel,Pterodroma longirostris,stepet
Stejneger's Scoter,Melanitta stejnegeri,whwsco1
Steller's Eider,Polysticta stelleri,steeid
Steller's Jay,Cyanocitta stelleri,stejay
Steller's Sea-Eagle,Haliaeetus pelagicus,stseag
Sterna sp.,Sterna sp.,sterna
Stilt Sandpiper,Calidris himantopus,stisan
stork sp.,Ciconiidae sp.,stork1
storm-petrel sp.,Oceanitidae/Hydrobatidae sp.,stopet
storm-petrel sp. (dark-rumped),Oceanitidae/Hydrobatidae sp. (dark-rumped),storm-1
storm-petrel sp. (white-rumped),Oceanitidae/Hydrobatidae sp. (white-rumped),storm-2
Streak-backed Oriole,Icterus pustulatus,stbori
Streaked Shearwater,Calonectris leucomelas,strshe
Streptopelia sp.,Streptopelia sp.,strept1
Striped Sparrow,Oriturus superciliosus,strspa1
Stygian Owl,Asio stygius,styowl1
sulid sp.,Sulidae sp.,sulid
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,subfly
Sulphur-crested Cockatoo,Cacatua galerita,succoc
Summer Tanager,Piranga rubra,sumtan
Sungrebe,Heliornis fulica,sungre1
Sun Parakeet,Aratinga solstitialis,sunpar1
Surfbird,Calidris virgata,surfbi
Surf Scoter,Melanitta perspicillata,sursco
Swainson's Hawk,Buteo swainsoni,swahaw
Swainson's Thrush,Catharus ustulatus,swathr
Swainson's Warbler,Limnothlypis swainsonii,swawar
swallow sp.,Hirundinidae sp.,swallo
Swallow-tailed Gull,Creagrus furcatus,swtgul1
Swallow-tailed Kite,Elanoides forficatus,swtkit
swamphen sp.,Porphyrio sp. (swamphen sp.),purswa
Swamp Sparrow,Melospiza georgiana,swaspa
swan sp.,Cygnus sp.,swan1
swift sp.,Apodidae sp.,swift1
Swinhoe's Storm-Petrel,Oceanodroma monorhis,swspet
Swinhoe's White-eye,Zosterops simplex,swiwhe1
Tachycineta sp.,Tachycineta sp.,tachyc1
Tahiti Petrel,Pseudobulweria rostrata,tahpet1
Taiga Bean-Goose,Anser fabalis,taibeg1
Taiga Flycatcher,Ficedula albicilla,taifly1
Tamaulipas Crow,Corvus imparatus,tamcro
tanager sp. (Piranga sp.),Piranga sp.,pirang1
tanager sp. (Thraupidae sp.),Thraupidae sp. (tanager sp.),tanage
Tanimbar Corella,Cacatua goffiniana,tancoc1
Tawny-shouldered Blackbird,Agelaius humeralis,tasbla
teal sp.,Anatidae sp. (teal sp.),teal
Temminck's Stint,Calidris temminckii,temsti
Tennessee Warbler,Leiothlypis peregrina,tenwar
Terek Sandpiper,Xenus cinereus,tersan
tern sp.,Sterninae sp.,tern1
Thalasseus sp.,Thalasseus sp.,thalas1
Thick-billed Kingbird,Tyrannus crassirostris,thbkin
Thick-billed Murre,Uria lomvia,thbmur
Thick-billed Parrot,Rhynchopsitta pachyrhyncha,thbpar
Thick-billed Vireo,Vireo crassirostris,thbvir
Thick-billed Warbler,Arundinax aedon,thbwar1
thrush sp.,Turdidae sp.,thrush1
towhee sp.,Melozone/Pipilo sp.,towhee1
Townsend's Solitaire,Myadestes townsendi,towsol
Townsend's Storm-Petrel,Oceanodroma socorroensis,leastp5
Townsend's Warbler,Setophaga townsendi,towwar
Toxostoma sp.,Toxostoma sp.,toxost1
Tree Pipit,Anthus trivialis,trepip
Tree Swallow,Tachycineta bicolor,treswa
Tricolored Blackbird,Agelaius tricolor,tribla
Tricolored Heron,Egretta tricolor,triher
Tricolored Munia,Lonchura malacca,trimun
Trindade Petrel,Pterodroma arminjoniana,tripet1
Tringa sp.,Tringa sp.,tringa1
Tristram's Storm-Petrel,Oceanodroma tristrami,trspet
Tropical Kingbird,Tyrannus melancholicus,trokin
Tropical Mockingbird,Mimus gilvus,tromoc
Tropical Parula,Setophaga pitiayumi,tropar
tropicbird sp.,Phaethon sp.,tropic1
Trumpeter Swan,Cygnus buccinator,truswa
Tufted Duck,Aythya fuligula,tufduc
Tufted Flycatcher,Mitrephanes phaeocercus,tuffly
Tufted Puffin,Fratercula cirrhata,tufpuf
Tufted Titmouse,Baeolophus bicolor,tuftit
Tundra Bean-Goose,Anser serrirostris,tunbeg1
Tundra Swan,Cygnus columbianus,tunswa
Turdus sp.,Turdus sp.,turdus1
Turkey Vulture,Cathartes aura,turvul
Turquoise-fronted Parrot,Amazona aestiva,bufpar
Tyrannus sp.,Tyrannus sp.,tyrann1
unknown,unknown,
Upland Sandpiper,Bartramia longicauda,uplsan
Variable Hawk,Geranoaetus polyosoma,rebhaw2
Varied Bunting,Passerina versicolor,varbun
Varied Thrush,Ixoreus naevius,varthr
Variegated Flycatcher,Empidonomus varius,varfly
Vaux's Swift,Chaetura vauxi,vauswi
Veery,Catharus fuscescens,veery
Verdin,Auriparus flaviceps,verdin
Vermilion Flycatcher,Pyrocephalus rubinus,verfly
Vesper Sparrow,Pooecetes gramineus,vesspa
Violet-crowned Hummingbird,Amazilia violiceps,vichum
Violet-green Swallow,Tachycineta thalassina,vigswa
vireo sp.,Vireo sp.,vireo1
vireo sp. (Red-eyed Vireo complex),Vireo sp. (Red-eyed Vireo complex),vireo2
Virginia Rail,Rallus limicola,virrai
Virginia's Warbler,Leiothlypis virginiae,virwar
wagtail sp.,Motacilla sp.,wagtai1
Wandering Albatross,Diomedea exulans,wanalb
Wandering Tattler,Tringa incana,wantat1
warbler sp. (Parulidae sp.),Parulidae sp.,warble
Warbling Vireo,Vireo gilvus,warvir
Warbling White-eye,Zosterops japonicus,warwhe1
waterfowl sp.,Anatidae sp.,waterf1
waxbill sp.,Estrilda sp.,waxbil1
Wedge-rumped Storm-Petrel,Oceanodroma tethys,wrspet
Wedge-tailed Shearwater,Ardenna pacifica,wetshe
Western Bluebird,Sialia mexicana,wesblu
Western Grebe,Aechmophorus occidentalis,wesgre
Western Gull,Larus occidentalis,wesgul
Western Kingbird,Tyrannus verticalis,weskin
Western Meadowlark,Sturnella neglecta,wesmea
Western Reef-Heron,Egretta gularis,werher
Western Sandpiper,Calidris mauri,wessan
Western Screech-Owl,Megascops kennicottii,wesowl1
Western Spindalis,Spindalis zena,wesspi
Western Tanager,Piranga ludoviciana,westan
Western Wood-Pewee,Contopus sordidulus,wewpew
Western Yellow Wagtail,Motacilla flava,eaywag1
West Indian Whistling-Duck,Dendrocygna arborea,wiwduc1
Whimbrel,Numenius phaeopus,whimbr
Whiskered Auklet,Aethia pygmaea,whiauk
Whiskered Screech-Owl,Megascops trichopsis,whsowl1
Whiskered Tern,Chlidonias hybrida,whiter2
whistling-duck sp.,Dendrocygna sp.,whistl1
White-breasted Nuthatch,Sitta carolinensis,whbnut
White-capped Albatross,Thalassarche cauta,whcalb1
White-cheeked Pintail,Anas bahamensis,whcpin
White-chinned Petrel,Procellaria aequinoctialis,whcpet1
White Cockatoo,Cacatua alba,whicoc1
White-collared Swift,Streptoprocne zonaris,whcswi
White-crested Elaenia,Elaenia albiceps,whcela1
White-crowned Pigeon,Patagioenas leucocephala,whcpig2
White-crowned Sparrow,Zonotrichia leucophrys,whcspa
White-eared Hummingbird,Hylocharis leucotis,whehum
white egret sp.,Ardea/Egretta/Bubulcus sp.,whiegr1
White-eyed Parakeet,Psittacara leucophthalmus,whepar2
White-eyed Vireo,Vireo griseus,whevir
white-eye sp.,Zosteropidae sp.,white-1
White-faced Ibis,Plegadis chihi,whfibi
White-faced Storm-Petrel,Pelagodroma marina,wfspet
White-faced Whistling-Duck,Dendrocygna viduata,wfwduc1
White-fronted Parrot,Amazona albifrons,whfpar1
White-headed Woodpecker,Dryobates albolarvatus,whhwoo
White Ibis,Eudocimus albus,whiibi
White-necked Petrel,Pterodroma cervicalis,whnpet
White-rumped Sandpiper,Calidris fuscicollis,whrsan
White-rumped Shama,Copsychus malabaricus,whrsha
White-tailed Eagle,Haliaeetus albicilla,whteag
White-tailed Hawk,Geranoaetus albicaudatus,whthaw
White-tailed Kite,Elanus leucurus,whtkit
White-tailed Ptarmigan,Lagopus leucura,whtpta1
White-tailed Tropicbird,Phaethon lepturus,whttro
White Tern,Gygis alba,whiter
White-throated Needletail,Hirundapus caudacutus,whtnee
White-throated Sparrow,Zonotrichia albicollis,whtspa
White-throated Swift,Aeronautes saxatalis,whtswi
White-throated Thrush,Turdus assimilis,whtrob1
White-tipped Dove,Leptotila verreauxi,whtdov
White Wagtail,Motacilla alba,whiwag
White-winged Crossbill,Loxia leucoptera,whwcro
White-winged Dove,Zenaida asiatica,whwdov
white-winged gull sp.,Larus sp. (white-winged gull sp.),whwgul1
White-winged Parakeet,Brotogeris versicolurus,whwpar
White-winged Scoter,Melanitta deglandi,whwsco2
White-winged Tern,Chlidonias leucopterus,whwter
Whooper Swan,Cygnus cygnus,whoswa
Whooping Crane,Grus americana,whocra
Wild Turkey,Meleagris gallopavo,wiltur
Willet,Tringa semipalmata,willet1
Williamson's Sapsucker,Sphyrapicus thyroideus,wilsap
Willow Flycatcher,Empidonax traillii,wilfly
Willow Ptarmigan,Lagopus lagopus,wilpta
Willow Warbler,Phylloscopus trochilus,wlwwar
Wilson's Phalarope,Phalaropus tricolor,wilpha
Wilson's Plover,Charadrius wilsonia,wilplo
Wilson's Snipe,Gallinago delicata,wilsni1
Wilson's Storm-Petrel,Oceanites oceanicus,wispet
Wilson's Warbler,Cardellina pusilla,wlswar
Winter Wren,Troglodytes hiemalis,winwre3
Wood Duck,Aix sponsa,wooduc
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,wooscj2
woodpecker sp.,Picidae sp.,woodpe1
Wood Sandpiper,Tringa glareola,woosan
Wood Stork,Mycteria americana,woosto
Wood Thrush,Hylocichla mustelina,woothr
Wood Warbler,Phylloscopus sibilatrix,woowar
Woolly-necked Stork,Ciconia episcopus,wonsto1
Worm-eating Warbler,Helmitheros vermivorum,woewar1
Worthen's Sparrow,Spizella wortheni,worspa
wren sp.,Troglodytidae sp.,wren1
Wrentit,Chamaea fasciata,wrenti
Xantus's Hummingbird,Hylocharis xantusii,xanhum
Yellow-bellied Flycatcher,Empidonax flaviventris,yebfly
yellow-bellied kingbird sp.,Tyrannus sp. (yellow-bellied),yebkin2
Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap
Yellow-billed Cardinal,Paroaria capitata,yebcar
Yellow-billed Cuckoo,Coccyzus americanus,yebcuc
Yellow-billed Loon,Gavia adamsii,yebloo
Yellow-billed Magpie,Pica nuttalli,yebmag
Yellow-breasted Bunting,Emberiza aureola,yebbun
Yellow-breasted Chat,Icteria virens,yebcha
Yellow-browed Bunting,Emberiza chrysophrys,yebbun1
Yellow-browed Warbler,Phylloscopus inornatus,yebwar3
Yellow-chevroned Parakeet,Brotogeris chiriri,yecpar
Yellow-collared Lovebird,Agapornis personatus,yeclov
Yellow-crowned Night-Heron,Nyctanassa violacea,ycnher
Yellow-crowned Parrot,Amazona ochrocephala,ywcpar
Yellow-eyed Junco,Junco phaeonotus,yeejun
Yellow-faced Grassquit,Tiaris olivaceus,yefgra1
Yellow-footed Gull,Larus livens,yefgul
Yellow-fronted Canary,Crithagra mozambica,yefcan
Yellow-green Vireo,Vireo flavoviridis,yegvir
Yellow Grosbeak,Pheucticus chrysopeplus,yelgro
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,yehbla
Yellow-headed Parrot,Amazona oratrix,yehpar
Yellow-legged Gull,Larus michahellis,yelgul1
Yellow-nosed Albatross,Thalassarche chlororhynchos,yenalb
Yellow Rail,Coturnicops noveboracensis,yelrai
Yellow-rumped Warbler,Setophaga coronata,yerwar
Yellow-throated Bunting,Emberiza elegans,yetbun1
Yellow-throated Vireo,Vireo flavifrons,yetvir
Yellow-throated Warbler,Setophaga dominica,yetwar
yellowthroat sp.,Geothlypis sp. (yellowthroat sp.),yellow7
Yellow Warbler,Setophaga petechia,yelwar
Yucatan Vireo,Vireo magister,yucvir
Zebra Dove,Geopelia striata,zebdov
Zebra Finch,Taeniopygia guttata,zebfin2
Zenaida Dove,Zenaida aurita,zendov
Zino's Petrel,Pterodroma madeira,madpet
Zone-tailed Hawk,Buteo albonotatus,zothaw
Zonotrichia sp.,Zonotrichia sp.,zonotr1
Zosterops sp.,Zosterops sp.,zoster1
